PERMNO,first_ymm,last_ymm,n_months,fulllife_nominal,fulllife_real
10443,198607,202512,474,12.936519366356563,3.7092425046938065
10444,192512,196010,419,11.893420467223892,6.787972094296321
10445,197212,198010,95,1.7889653853461014,0.3944826926730497
10446,198607,199904,154,-0.0882315035726492,-0.3992860989242179
10447,198607,199208,74,-0.9698795234200023,-0.9765919646166803
10448,198607,198803,21,-0.8965515297971967,-0.902767317706378
10449,198607,200208,194,10.706993991733963,6.094166253983774
10450,198607,199003,45,-0.7336072647115355,-0.7733488382743834
10451,198607,199701,127,5.787218730316276,3.6712787615941753
10452,192512,195501,350,0.6428217921214625,0.10752030929536728
10453,198804,200507,208,0.0649946130991306,-0.3650364768370075
10454,198607,199309,87,-0.8823527041686411,-0.911217237122441
10455,198607,199802,140,-0.9978571397479543,-0.9985506905645523
10456,198607,200005,167,1.1385434470451923,0.36542569942535813
10457,198805,199704,108,6.428567567715336,4.4299953943787
10458,198607,199806,144,-0.8274773336522006,-0.8841028713798523
10459,198607,198802,20,0.010239214664749224,-0.04636901719146551
10460,192512,199707,860,691.8021362440378,76.69743584045332
10461,198607,199807,145,3.0029627639274654,1.6858114132969213
10462,198607,199704,130,-0.45043187569259685,-0.6243588663441908
10463,198607,202512,474,-0.6929686652860436,-0.8962520717189782
10464,198607,198912,42,0.34091004719323476,0.16439056437477587
10465,198607,199003,45,1.5755262263089214,1.1912985375355643
10466,198607,198807,25,-0.503936798577167,-0.5416124847611797
10467,198607,200212,198,3.4782974073357344,1.710743870112013
10468,198607,198811,29,-0.9674342687581567,-0.9703578755529357
10469,198607,198805,23,-0.8085106658781884,-0.8215482375630777
10470,198607,198810,28,-0.6585370099089576,-0.6889334657656475
10471,198607,199205,71,-0.9482757304290932,-0.9594573549175784
10472,198607,198801,19,-0.13333225185037453,-0.1797742573691968
10473,198607,198707,13,-0.38842978851953874,-0.41153832902363346
10474,198607,199104,58,-0.963235293699952,-0.9702238510365735
10475,198607,198810,28,0.5549830690048478,0.41656111527479905
10476,198805,199311,67,-0.35999905873527227,-0.4859800396289466
10477,198607,199209,75,-0.9736841368837433,-0.9796066028929221
10478,198607,199205,71,-0.9506174169505079,-0.9612928214465327
10479,192512,198401,698,355.0432560704847,61.89282246583651
10480,198310,198409,12,-0.8633539807332828,-0.8689499605699197
10481,198607,199409,99,2.6521319118663675,1.676763349058683
10482,198607,199001,43,-0.904761867542788,-0.9181430494186442
10483,198607,198907,37,0.3320721275142951,0.1725232955210238
10484,198607,200105,179,-0.4176430892344196,-0.6411475423250927
10485,198607,199009,51,-0.9716087133313168,-0.9765723746027068
10486,198607,199106,60,-0.9888395469242712,-0.9910141940309389
10487,192512,198605,726,267.51921048326966,43.38334057574717
10488,197212,200603,400,15.130718393414302,2.4231354348386787
10489,198607,198807,25,-0.9260565767756807,-0.9316725329699327
10490,198607,198807,25,1.2407385943751832,1.0705559163213723
10491,198607,199008,50,-0.16666737195084078,-0.30661152909283423
10492,198607,199209,75,0.45833989726245755,0.13013601380211748
10493,198607,199509,111,-0.8571426963203936,-0.8978924624483231
10494,198607,199811,149,5.647250904909909,3.438255939558757
10495,192512,197612,613,23.000763932537524,6.4229166801662485
10496,198103,199607,185,-0.3534504104714261,-0.6380145928690325
10497,198607,198711,17,-0.9830508610492763,-0.9839174114808991
10498,198607,199101,55,-0.2725910877369134,-0.4082371776165826
10499,198607,198907,37,0.19801984175162002,0.05452711150966643
10500,198805,199506,86,-0.5288479910473092,-0.6382170475517368
10501,198607,202512,474,9.039995401624745,2.392581163873641
10502,198607,198906,36,-0.9375000576571032,-0.9448529920503851
10503,198607,199012,54,-0.9904931369286698,-0.9922197196837769
10504,198607,199201,67,-0.9788732591602487,-0.9832485291676121
10505,198607,199109,63,-0.932414178404047,-0.94605942081081
10506,198607,199802,140,0.1304376298334344,-0.23543594523310077
10507,198607,201409,339,4.174994573081308,1.3806222960555767
10508,192512,193001,50,-0.1471556281473862,-0.10226908226040714
10509,197302,197708,55,0.569969982576388,0.09282224277376024
10510,198607,198803,21,-0.09753411208828575,-0.15175953024607147
10511,198607,198903,33,-0.8170729907031952,-0.8362182541455426
10512,198607,198905,35,-0.8981481549916218,-0.9099129480741728
10513,198607,200004,166,1.978711776292398,0.9040802072622185
10514,198607,202305,443,-0.9948601347930546,-0.9981494071879164
10515,198607,199811,149,-0.11120939667651089,-0.40656968863462073
10516,192512,202512,1201,44415.144805029195,2466.1524082113656
10517,198211,202512,518,36.75605461053027,10.441440509156104
10518,198607,198705,11,1.5185245137149916,1.4383592772041691
10519,198607,199302,80,-0.4033605089517101,-0.5434519617764653
10520,198607,199411,101,-0.9583334011151861,-0.9695224276694246
10521,198607,198807,25,-0.8375001589258926,-0.8498419190074703
10522,198607,198812,30,1.497064880621306,1.2691170491952946
10523,198607,198812,30,-0.9375000984859402,-0.9432054836863938
10524,192512,197011,540,2.599024814059862,0.6359203700272145
10525,197212,198009,94,-0.9326649064738053,-0.966011809934397
10526,198607,198908,38,0.062499932919942755,-0.0662620974740465
10527,198607,199908,158,3.758636826595783,2.1183167714676183
10528,198607,199107,61,5.003534062194366,3.8266298077113268
10529,198607,198712,18,0.9822170492330371,0.8808731966292689
10530,198607,202212,438,42.05317698300719,14.883997748088058
10531,198607,200010,172,-0.9778646756652649,-0.9860700114100374
10532,192512,196508,477,1.323703743855043,0.3236287148541404
10533,197212,197404,17,-0.5135135375141531,-0.5702702914708354
10534,198607,199111,65,-0.9775403829120762,-0.9821529167552421
10535,198607,198907,37,-0.9802631379079532,-0.9826271189784636
10536,198607,200103,177,-0.45833224539124434,-0.6633790060745808
10537,198607,199510,112,-0.5403219242505088,-0.6725130169514031
10538,198607,199107,61,-0.9197529938553007,-0.9354842351479842
10539,198607,198801,19,-0.7023810424482438,-0.7183295086264712
10540,192512,193409,106,-0.5323723836831137,-0.38108109605117996
10541,197212,197612,49,2.046636705027938,1.2195428916354727
10542,198608,199302,79,-0.9810271039381788,-0.9854819558436798
10543,198608,199102,55,-0.9935897383867092,-0.9947928512859395
10544,198607,199508,110,5.191375701490379,3.4339806364499443
10545,198608,200006,167,11.29163249676127,6.80704036192205
10546,198608,199303,80,2.0188820717276843,1.3020026939706217
10547,198608,202512,473,15.657159840723857,4.628565000152029
10548,198608,198807,24,-0.9137930807296302,-0.9203404416868735
10549,198608,198901,30,-0.8899999582116946,-0.9005367087050418
10550,198608,202512,473,1.358939877699234,-0.20289853972465713
10551,198608,199702,127,5.963395171730853,3.7775173640634607
10552,198608,198903,32,-0.9484126373913763,-0.9538118053504145
10553,198608,199008,49,0.9706908522331268,0.639746567777564
10554,198608,198709,14,-0.8653844176286187,-0.8718225541768152
10555,198608,199507,108,4.924468305117763,3.25396248793702
10556,198608,199103,56,-0.9962225232604464,-0.9969360466445842
10557,198608,199404,93,-0.8571429465320428,-0.8938748483396111
10558,198608,198803,20,0.6428595246689628,0.5441469352038748
10559,192512,198609,730,298.00044765365016,47.838548618563614
10560,198707,200709,243,-0.8867617462628824,-0.9383571136730798
10561,198608,199508,109,-0.5728810166999413,-0.6941168824633328
10562,198608,200812,269,2.305265044396204,0.7215904749195363
10563,198608,200912,281,-0.7456387795733112,-0.8710225394110535
10564,198608,200205,190,-0.9443254426948202,-0.9660936372362781
