horizon,horizon_months,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,terminal_reason,included_in_summary,nominal_ret,real_ret
30y,360,1,91687,198501,201412,200612,264,264,delisted,True,1.5945141478129523,0.35382725354165023
30y,360,1,91688,200701,203612,202512,228,228,sample_end,False,2.22418585027802,1.007815686848807
30y,360,1,91689,200701,203612,202512,228,228,sample_end,False,1.2650710353763484,0.4105406350143732
30y,360,1,91690,200701,203612,201009,45,45,delisted,True,-0.5081425978762886,-0.5456085051269928
30y,360,1,91692,200701,203612,201906,150,150,delisted,True,2.6921455665509013,1.908824271324892
30y,360,1,91695,198508,201507,199201,78,78,delisted,True,9.481289621782468,7.18162940787944
30y,360,1,91707,200701,203612,202512,228,228,sample_end,False,-0.4693162920581756,-0.6695243006947604
30y,360,1,91708,198409,201408,200611,267,267,delisted,True,-0.9793835969041212,-0.9893081184937006
30y,360,1,91716,198411,201410,198907,57,57,delisted,True,1.4888865684035952,1.1067504473705672
30y,360,1,91724,198412,201411,198610,23,23,delisted,True,-0.8260872778221396,-0.8339709007676456
30y,360,1,91726,200701,203612,200811,23,23,delisted,True,0.07650917124165568,0.022664708751635843
30y,360,1,91727,200702,203701,202304,195,195,delisted,True,-0.4120853115482267,-0.6077506718266936
30y,360,1,91728,200701,203612,201301,73,73,delisted,True,0.7281739759841168,0.5144411514399618
30y,360,1,91729,200701,203612,202008,164,164,delisted,True,-0.9675368495701794,-0.9747956518719835
30y,360,1,91730,200701,203612,201105,53,53,delisted,True,-0.6610442263091335,-0.6972912714821082
30y,360,1,91731,200701,203612,201509,105,105,delisted,True,1.4108825731905639,1.0446578128132789
30y,360,1,91732,198507,201506,199501,115,115,delisted,True,-0.9521367442894525,-0.9657346219929813
30y,360,1,91733,200701,203612,202512,228,228,sample_end,False,9.108186809784485,5.294728959415757
30y,360,1,91734,200701,203612,202512,228,228,sample_end,False,-0.6644028539702613,-0.7910116706820433
30y,360,1,91735,200701,203612,201111,59,59,delisted,True,-0.7320386280379709,-0.7609750923310901
30y,360,1,91736,200701,203612,201503,99,99,delisted,True,0.9345575278243734,0.6533769375397926
30y,360,1,91737,200701,203612,201110,58,58,delisted,True,0.9656886283127741,0.7519398165078222
30y,360,1,91738,200701,203612,200709,9,9,delisted,True,-0.4518849283351666,-0.4694982184078492
30y,360,1,91739,200701,203612,201905,149,149,delisted,True,-0.9848848045685249,-0.988089255275168
30y,360,1,91740,200701,203612,200903,27,27,delisted,True,-0.9931131874254597,-0.9934663846967349
30y,360,1,91741,200701,203612,202006,162,162,delisted,True,0.29156207619992247,0.01101730034540438
30y,360,1,91742,200701,203612,202512,228,228,sample_end,False,-0.9999259255857016,-0.9999538712165089
30y,360,1,91743,200701,203612,201911,155,155,delisted,True,2.105109979648383,1.4362041378691313
30y,360,1,91744,200701,203612,201002,38,38,delisted,True,-0.008920403976061864,-0.07724028920402404
30y,360,1,91746,200701,203612,201006,42,42,delisted,True,-0.9875725238132017,-0.9884941862478109
30y,360,1,91750,200702,203701,201711,130,130,delisted,True,-0.6113039458991537,-0.6810621466418101
30y,360,1,91752,200702,203701,201307,78,78,delisted,True,-0.9841176861642327,-0.9862387184696686
30y,360,1,91754,200702,203701,202512,227,227,sample_end,False,-0.04468935422860554,-0.4033251411674277
30y,360,1,91756,200702,203701,200901,24,24,delisted,True,0.08417247964472674,0.03927911358696612
30y,360,1,91759,198410,201409,198701,28,28,delisted,True,0.48920686166268235,0.40617554383616605
30y,360,1,91767,198503,201502,199304,98,98,delisted,True,-0.7666663081745679,-0.8282404768507232
30y,360,1,91775,198507,201506,198802,32,32,delisted,True,1.0492582297507678,0.9008636682860574
30y,360,1,91783,198503,201502,199809,163,163,delisted,True,-0.8214290878253383,-0.8843000202291309
30y,360,1,91791,198505,201504,199008,64,64,delisted,True,-0.9642856041551161,-0.9709888380256985
30y,360,1,91800,200702,203701,200812,23,23,delisted,True,0.03577943335291134,-0.002788604226700464
30y,360,1,91801,200702,203701,201212,71,71,delisted,True,-0.3821540907145643,-0.4553507517851746
30y,360,1,91803,200702,203701,200810,21,21,delisted,True,0.09152802064994248,0.020096094063196013
30y,360,1,91804,198502,201501,200302,217,217,delisted,True,-0.656104740060783,-0.8018517207887093
30y,360,1,91812,198512,201511,198710,23,23,delisted,True,0.3333330000000001,0.2604795923677359
30y,360,1,91813,200702,203701,202101,168,168,delisted,True,-0.6243251079835871,-0.7093202202593376
30y,360,1,91814,200702,203701,202512,227,227,sample_end,False,-0.9710361762002307,-0.9819095646494927
30y,360,1,91815,200702,203701,202512,227,227,sample_end,False,1.4244077638509594,0.5142542027052104
30y,360,1,91816,200702,203701,201108,55,55,delisted,True,-0.9104071078495767,-0.9199558526065654
30y,360,1,91817,200702,203701,200808,19,19,delisted,True,-0.9569137821885334,-0.9601953092162856
30y,360,1,91818,200702,203701,202506,221,221,delisted,True,2.21107902113747,1.014882127344047
30y,360,1,91819,200702,203701,201806,137,137,delisted,True,-0.7704496323756044,-0.8156229263690966
30y,360,1,91820,200702,203701,201011,46,46,delisted,True,-0.9432223245425909,-0.9474787753706321
30y,360,1,91821,200702,203701,202003,158,158,delisted,True,5.065992122121978,3.756627106202613
30y,360,1,91822,200702,203701,202512,227,227,sample_end,False,-0.9558141605434658,-0.9724020875965039
30y,360,1,91823,200702,203701,201601,108,108,delisted,True,0.19506846503096154,0.020960413489449436
30y,360,1,91824,200702,203701,201309,80,80,delisted,True,0.48117754957969505,0.28034002295517046
30y,360,1,91825,200702,203701,201206,65,65,delisted,True,-0.9275861613278831,-0.9361308668053737
30y,360,1,91826,200702,203701,202512,227,227,sample_end,False,-0.9579831281241673,-0.9737567971150841
30y,360,1,91829,200702,203701,201804,135,135,delisted,True,-0.9999183928055108,-0.9999340747959871
30y,360,1,91830,200702,203701,201004,39,39,delisted,True,0.05526207588241516,-0.020292537653945564
30y,360,1,91831,200702,203701,201009,44,44,delisted,True,-0.6747992948698668,-0.698677329971576
30y,360,1,91832,200702,203701,202512,227,227,sample_end,False,0.8303883315845952,0.143237233031289
30y,360,1,91833,200702,203701,201304,75,75,delisted,True,0.11177797952824653,-0.03228445645304434
30y,360,1,91835,200702,203701,200907,30,30,delisted,True,-0.9447814965090274,-0.9481022836830437
30y,360,1,91836,200701,203612,202512,228,228,sample_end,False,-0.8218323248530938,-0.8890486250913563
30y,360,1,91837,200603,203602,201305,87,87,delisted,True,-0.3580775058550346,-0.4524458580926636
30y,360,1,91838,200603,203602,200802,24,24,delisted,True,-0.922093308039826,-0.9268773750945368
30y,360,1,91840,200603,203602,201010,56,56,delisted,True,-0.9886606889957188,-0.9896981811772125
30y,360,1,91841,200605,203604,200809,29,29,delisted,True,0.658316508144865,0.5273159998317507
30y,360,1,91842,200611,203610,200707,9,9,delisted,True,0.48222237962971537,0.4359696409470788
30y,360,1,91843,200612,203611,200910,35,35,delisted,True,-0.3824195751798304,-0.42434923418650417
30y,360,1,91845,200611,203610,202401,207,207,delisted,True,-0.9998963911055171,-0.9999322077741932
30y,360,1,91846,200603,203602,200610,8,8,delisted,True,-0.13888923313267998,-0.1521173965483823
30y,360,1,91849,200704,203703,202512,225,225,sample_end,False,15.618522240946227,9.533566838521804
30y,360,1,91850,200703,203702,202512,226,226,sample_end,False,10.497725549325992,6.220361881932759
