analysis,horizon,horizon_months,window,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,is_sparse_history,terminal_reason,included_in_summary,no_post_start_obs,nominal_ret,real_ret,nominal_ret_skip_first_observed,real_ret_skip_first_observed,period_end_mthretflg,period_end_security_end_dt,period_end_security_active_flg,period_end_del_action_type,period_end_del_status_type,period_end_del_reason_type,period_end_del_payment_type,stock_terminal_mthretflg,stock_terminal_security_end_dt,stock_terminal_security_active_flg,stock_terminal_del_action_type,stock_terminal_del_status_type,stock_terminal_del_reason_type,stock_terminal_del_payment_type
calendar_window,10y,120,2015-2025,1,13633,201512,202512,201908,44,44,0,False,delisted,True,False,-0.9302061966125178,-0.9356559555881157,,,CR,2019-09-04,Y,GDR,VCL,INSC,PRCF,CR,2019-09-04,Y,GDR,VCL,INSC,PRCF
calendar_window,10y,120,2015-2025,1,13634,201512,202512,202512,120,120,0,False,complete,True,False,0.2708934109476897,-0.07238280032216216,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13636,201512,202512,201607,7,7,0,False,delisted,True,False,0.010986151891044127,-0.006330851512675206,,,CR,2016-08-19,Y,MER,FPAY,UNAV,CASH,CR,2016-08-19,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,13640,201512,202512,201709,21,21,0,False,delisted,True,False,0.5289863144733462,0.46521737804143326,,,CR,2017-10-20,Y,MER,FPAY,UNAV,CST,CR,2017-10-20,Y,MER,FPAY,UNAV,CST
calendar_window,10y,120,2015-2025,1,13641,201512,202512,202512,120,120,0,False,complete,True,False,1.9080713697766254,1.122583213712581,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13642,201512,202512,201904,40,40,0,False,delisted,True,False,0.0649509689644947,-0.01432400983640214,,,DE,2019-04-30,Y,MER,FPAY,UNAV,CST,DE,2019-04-30,Y,MER,FPAY,UNAV,CST
calendar_window,10y,120,2015-2025,1,13643,201512,202512,202310,94,94,0,False,delisted,True,False,-0.873250823653526,-0.9025603682656157,,,CR,2023-11-07,Y,MER,FPAY,UNAV,CASH,CR,2023-11-07,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,13647,201512,202512,201604,4,4,0,False,delisted,True,False,-0.5999994088934675,-0.6045735000210122,,,CR,2016-05-23,Y,GDR,VCL,BKPY,PRCF,CR,2016-05-23,Y,GDR,VCL,BKPY,PRCF
calendar_window,10y,120,2015-2025,1,13648,201512,202512,202303,87,87,0,False,delisted,True,False,-0.4327153721796212,-0.5554639055804635,,,CR,2023-04-03,Y,MER,FPAY,UNAV,CASH,CR,2023-04-03,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,13652,201512,202512,202505,113,113,0,False,delisted,True,False,-0.9924216743108666,-0.994424078877569,,,CR,2025-06-24,Y,MER,FPAY,UNAV,CSHN,CR,2025-06-24,Y,MER,FPAY,UNAV,CSHN
calendar_window,10y,120,2015-2025,1,13655,201512,202512,201810,34,34,0,False,delisted,True,False,2.604380935610676,2.371201142002554,,,DE,2018-10-31,Y,MER,FPAY,UNAV,CASH,DE,2018-10-31,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,13656,201512,202512,201909,45,45,0,False,delisted,True,False,-0.5699997126606264,-0.6038860645081756,,,CR,2019-10-23,Y,MER,FPAY,UNAV,CASH,CR,2019-10-23,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,13658,201512,202512,201807,31,31,0,False,delisted,True,False,0.1679674560849116,0.0962179573124593,,,CR,2018-08-13,Y,MER,FPAY,UNAV,CASH,CR,2018-08-13,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,13678,201512,202512,201801,25,25,0,False,delisted,True,False,-0.15019794854521085,-0.18908353988088766,,,CR,2018-02-06,Y,MER,FPAY,UNAV,STK,CR,2018-02-06,Y,MER,FPAY,UNAV,STK
calendar_window,10y,120,2015-2025,1,13680,201512,202512,202512,120,120,0,False,complete,True,False,1.5008128638131586,0.8253277620810351,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13681,201512,202512,202512,120,120,0,False,complete,True,False,2.3676852223428098,1.4580525073433201,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13687,201512,202512,202512,120,120,0,False,complete,True,False,1.2548767520245363,0.6458205230381466,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13688,201512,202512,202512,120,120,0,False,complete,True,False,-0.6772719447284754,-0.7644427988140947,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13690,201512,202512,201604,4,4,0,False,delisted,True,False,0.28291345283480385,0.2682430669091578,,,CR,2016-05-26,Y,MER,FPAY,UNAV,CST,CR,2016-05-26,Y,MER,FPAY,UNAV,CST
calendar_window,10y,120,2015-2025,1,13691,201512,202512,201901,37,37,0,False,delisted,True,False,-0.901685484830784,-0.9076172741053314,,,CR,2019-02-27,Y,GDR,VCL,LP,PRCF,CR,2019-02-27,Y,GDR,VCL,LP,PRCF
calendar_window,10y,120,2015-2025,1,13693,201512,202512,202512,120,120,0,False,complete,True,False,-0.9897569397417417,-0.992523653997221,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13694,201512,202512,202512,120,120,0,False,complete,True,False,1.679125949196596,0.9554773745540097,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13695,201512,202512,201512,0,0,0,False,delisted,False,True,,,,,NS,2016-01-06,Y,GDR,VCL,LP,PRCF,CR,2016-01-06,Y,GDR,VCL,LP,PRCF
calendar_window,10y,120,2015-2025,1,13701,201512,202512,202512,120,120,0,False,complete,True,False,0.26780098653247486,-0.07463994167764187,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13702,201512,202512,201603,3,3,0,False,delisted,True,False,-0.7003893278553279,-0.7024112079476148,,,CR,2016-04-04,Y,GDR,VCL,FING,PRCF,CR,2016-04-04,Y,GDR,VCL,FING,PRCF
calendar_window,10y,120,2015-2025,1,13704,201512,202512,202512,120,120,0,False,complete,True,False,0.49428153900054883,0.09066680556976636,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13705,201512,202512,201711,23,23,0,False,delisted,True,False,0.47540457448552353,0.4147301322022168,,,CR,2017-12-19,Y,MER,FPAY,UNAV,CASH,CR,2017-12-19,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,13706,201512,202512,202512,120,120,0,False,complete,True,False,-0.8597859173730407,-0.8976586127826179,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13707,201512,202512,202512,120,120,0,False,complete,True,False,-0.999920031351608,-0.999941631380693,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13711,201512,202512,201610,10,10,0,False,delisted,True,False,-0.6158365650982475,-0.6241069278401141,,,CR,2016-11-18,Y,MER,FPAY,UNAV,STK,CR,2016-11-18,Y,MER,FPAY,UNAV,STK
calendar_window,10y,120,2015-2025,1,13712,201512,202512,202512,120,120,0,False,complete,True,False,-0.10326032424940546,-0.345475285579226,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13713,201512,202512,201712,24,24,0,False,delisted,True,False,0.6593621261727316,0.5920584888003018,,,DE,2017-12-29,Y,MER,FPAY,UNAV,STK,DE,2017-12-29,Y,MER,FPAY,UNAV,STK
calendar_window,10y,120,2015-2025,1,13721,201512,202512,202512,120,120,0,False,complete,True,False,4.852539183192907,3.2717319653659667,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13730,201512,202512,202512,120,120,0,False,complete,True,False,-0.028210368626025883,-0.290696789545171,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13738,201512,202512,202512,120,120,0,False,complete,True,False,1.4240658419987624,0.7693105879845905,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13739,201512,202512,202512,120,120,0,False,complete,True,False,0.5179621136632693,0.10795110979714706,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13740,201512,202512,201812,36,36,0,False,delisted,True,False,-0.3173498118008986,-0.3573143824107803,,,CR,2019-01-28,Y,MER,FPAY,UNAV,CASH,CR,2019-01-28,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,13743,201512,202512,202512,120,120,0,False,complete,True,False,0.09476885129635693,-0.20093502146904374,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
